,ticks
2100,JOE
2101,STAG
2102,SMP
2103,SXI
2104,SWK
2105,SWT
2106,STN
2107,SGU
2108,SRT
2109,STWD
2110,STT
2111,SPLP
2112,SCS
2113,SCA
2114,SCM
2115,SCL
2116,STE
2117,STL
2118,STC
2119,SF
2120,SFB
2121,STM
2122,EDF
2123,EDI
2124,STON
2125,SRI
2126,STOR
2127,GJH
2128,GJO
2129,GJS
2130,SYK
2131,MSC
2132,RGR
2133,SPH
2134,SMFG
2135,INN
2136,SUM
2137,SMLP
2138,SUI
2139,SLF
2140,SXC
2141,SU
2142,STG
2143,NOVA
2144,SUN
2145,SHO
2146,SPN
2147,SUP
2148,SOAC
2149,SUZ
2150,SWZ
2151,SWCH
2152,SBE
2153,SYF
2154,SNX
2155,SNV
2156,GJP
2157,GJR
2158,GJT
2159,SYY
2160,SYX
2161,TLRD
2162,TWN
2163,TSM
2164,TAK
2165,TAL
2166,TALO
2167,SKT
2168,TPR
2169,TRGP
2170,TGT
2171,TARO
2172,TTM
2173,TCO
2174,TMHC
2175,TRP
2176,TCP
2177,TSI
2178,TEL
2179,TISI
2180,FTI
2181,TECK
2182,TK
2183,TGP
2184,TNK
2185,TGNA
2186,TRC
2187,HQH
2188,THQ
2189,HQL
2190,THW
2191,TDOC
2192,TEO
2193,TDY
2194,TFX
2195,VIV
2196,TEF
2197,TDA
2198,TDE
2199,TDI
2200,TDJ
2201,TDS
2202,TU
2203,TDF
2204,EMF
2205,TEI
2206,GIM
2207,TPX
2208,TS
2209,TME
2210,THC
2211,TNC
2212,TEN
2213,TVC
2214,TVE
2215,TDC
2216,TEX
2217,TX
2218,TRNO
2219,TTI
2220,TEVA
2221,TPL
2222,TGH
2223,TXT
2224,TFII
2225,AES
2226,AZEK
2227,BK
2228,BX
2229,CEE
2230,SCHW
2231,COO
2232,GDV
2233,GRX
2234,GDL
2235,THG
2236,THGA
2237,TRV
2238,TMO
2239,THR
2240,TPRE
2241,TRI
2242,THO
2243,TDW
2244,TIF
2245,TLYS
2246,TSU
2247,TKR
2248,TMST
2249,TWI
2250,TJX
2251,TOL
2252,TR
2253,BLD
2254,TTC
2255,TD
2256,SHLL
2257,NDP
2258,TYG
2259,TEAF
2260,NTG
2261,TTP
2262,TPZ
2263,TOT
2264,TSQ
2265,TM
2266,TRTX
2267,TT
2268,TAC
2269,TCI
2270,TDG
2271,RIG
2272,TGS
2273,TRU
2274,TREC
2275,TG
2276,THS
2277,TREX
2278,TY
2279,TPH
2280,TRNE
2281,TNET
2282,TRN
2283,TSE
2284,TPVG
2285,TPVY
2286,GTS
2287,TRTN
2288,TGI
2289,TROX
2290,TBI
2291,TFC
2292,TNP
2293,TUFN
2294,TUP
2295,TKC
2296,TPB
2297,TRQ
2298,TPC
2299,TWLO
2300,TRWH
2301,TWTR
2302,TWO
2303,TYL
2304,TSN
2305,USB
2306,USPH
2307,SLCA
2308,USX
2309,UBER
2310,UI
2311,UBS
2312,UDR
2313,UGI
2314,UGP
2315,UMH
2316,UA
2317,UAA
2318,UFI
2319,UNF
2320,UN
2321,UL
2322,UNP
2323,UIS
2324,UMC
2325,UNFI
2326,UPS
2327,URI
2328,USM
2329,UZA
2330,UZB
2331,UZC
2332,X
2333,UNH
2334,UTL
2335,UNVR
2336,UVV
2337,UHT
2338,UHS
2339,UVE
2340,UTI
2341,UNM
2342,UNMA
2343,UE
2344,UBA
2345,UBP
2346,USFD
2347,USAC
2348,USNA
2349,USDP
2350,BIF
2351,VFC
2352,EGY
2353,MTN
2354,VAL
2355,VALE
2356,VLO
2357,VHI
2358,VMI
2359,VVV
2360,VAPO
2361,VAR
2362,VGR
2363,VEC
2364,VEDL
2365,VEEV
2366,VEL
2367,VNTR
2368,VTR
2369,VNE
2370,VER
2371,VRTV
2372,VZ
2373,VET
2374,VRS
2375,VCIF
2376,VRT
2377,VVI
2378,VICI
2379,VNCE
2380,VIPS
2381,SPCE
2382,VHC
2383,VGI
2384,ZTR
2385,V
2386,VSH
2387,VPG
2388,VIST
2389,VSTO
2390,VST
2391,VVNT
2392,VSLR
2393,VMW
2394,VOC
2395,VCRA
2396,VNO
2397,VJET
2398,IAE
2399,IHD
2400,VOYA
2401,IGA
2402,IGD
2403,IDE
2404,IID
2405,IRR
2406,PPR
2407,VMC
2408,WTI
2409,WPC
2410,WRB
2411,GRA
2412,GWW
2413,WNC
2414,WDR
2415,WD
2416,WMT
2417,DIS
2418,HCC
2419,WPG
2420,WRE
2421,WCN
2422,WM
2423,WAT
2424,WSO
2425,WTS
2426,W
2427,WBS
2428,WEC
2429,WEI
2430,WRI
2431,WMK
2432,WBT
2433,WFC
2434,EOD
2435,WELL
2436,WCC
2437,WST
2438,WAL
2439,WALA
2440,WEA
2441,TLI
2442,EMD
2443,GDO
2444,EHI
2445,HIX
2446,HIO
2447,HYI
2448,SBI
2449,IGI
2450,PAI
2451,MMU
2452,WMC
2453,DMO
2454,MTT
2455,MHF
2456,MNP
2457,GFY
2458,WIW
2459,WIA
2460,WES
2461,WU
2462,WAB
2463,WLK
2464,WLKP
2465,WBK
2466,WRK
2467,WHG
2468,WEX
2469,WY
2470,WPM
2471,WHR
2472,WTM
2473,WSR
2474,WLL
2475,WOW
2476,WMB
2477,WSM
2478,WGO
2479,WIT
2480,WNS
2481,WWW
2482,WF
2483,WK
2484,INT
2485,WWE
2486,WOR
2487,WPP
2488,WPX
2489,WYND
2490,WH
2491,XYF
2492,XFLT
2493,XHR
2494,XRX
2495,XIN
2496,XPO
2497,XYL
2498,AUY
2499,YELP
2500,YETI
2501,YEXT
2502,YRD
2503,DAO
2504,YPF
2505,YUMC
2506,YUM
2507,ZEN
2508,ZBH
2509,ZTS
2510,ZTO
2511,ZUO
2512,ZYME
2513,GOED
2514,XXII
2515,FAX
2516,IAF
2517,AEF
2518,FCO
2519,ACU
2520,ATNM
2521,AE
2522,ACY
2523,UAVS
2524,AGE
2525,AIRI
2526,AXU
2527,AAU
2528,APT
2529,AAMC
2530,AMBO
2531,DIT
2532,AMS
2533,USAS
2534,AMPE
2535,ANVS
2536,ARMP
2537,AINC
2538,AUG
2539,AWX
2540,ASM
2541,BTG
2542,BTN
2543,BCV
2544,BHB
2545,BRN
2546,BATL
2547,BIOX
2548,PHGE
2549,BGI
2550,BKTI
2551,BDR
2552,BRBS
2553,BRG
2554,DMF
2555,CMCL
2556,CEI
2557,CANF
2558,YCBD
2559,CVM
2560,CET
2561,LEU
2562,CHAQ
2563,CCF
2564,CQP
2565,LNG
2566,CVR
2567,CPHI
2568,CKX
2569,GLV
2570,GLQ
2571,GLO
2572,COHN
2573,CIX
2574,LODE
2575,CDOR
2576,MCF
2577,CMT
2578,CRMD
2579,CRF
2580,CLM
2581,CVU
2582,CIK
2583,DHY
2584,CRHM
2585,CTO
2586,CTEK
2587,DXR
2588,VCF
2589,VFL
2590,VMM
2591,DLA
2592,DNN
2593,DSS
2594,DPW
2595,DXF
2596,GRF
2597,EVM
2598,CEV
2599,EVV
2600,EIM
2601,ENX
2602,EVY
2603,ELMD
2604,ELLO
2605,ECF
2606,EMAN
2607,MSN
2608,EMX
2609,UUUU
2610,ENSV
2611,ELA
2612,EQX
2613,ESP
2614,EVBN
2615,EVI
2616,EPM
2617,FEN
2618,BDL
2619,FSI
2620,FTF
2621,FSP
2622,FRD
2623,FTSI
2624,GAU
2625,GGN
2626,JOB
2627,GMO
2628,GSB
2629,GSAT
2630,GORO
2631,GSV
2632,AUMN
2633,GSS
2634,GV
2635,GDP
2636,GTE
2637,GPL
2638,SIM
2639,AIM
2640,HMG
2641,HUSA
2642,IBIO
2643,IBO
2644,IMH
2645,IMO
2646,IOR
2647,IGC
2648,INDO
2649,INFU
2650,IHT
2651,NSPR
2652,ITRG
2653,INS
2654,THM
2655,INTT
2656,INUV
2657,VKI
2658,ISR
2659,ISDR
2660,ITP
2661,KLR
2662,KIQ
2663,LGL
2664,LCTX
2665,MAG
2666,MHH
2667,MTNB
2668,MMX
2669,IPB
2670,MTA
2671,MXC
2672,MLSS
2673,MYO
2674,NNVC
2675,ATEST
2676,NHC
2677,NAVB
2678,NTIP
2679,NBW
2680,NHS
2681,NML
2682,NBH
2683,NBO
2684,NRO
2685,GBR
2686,NEN
2687,NGD
2688,NXE
2689,NAK
2690,NOG
2691,NBY
2692,NG
2693,NTN
2694,NES
2695,OBLG
2696,OCX
2697,OGEN
2698,PTN
2699,PZG
2700,PRK
2701,PED
2702,PFNX
2703,HNW
2704,PLAG
2705,PLG
2706,PLM
2707,PW
2708,PLX
2709,RLGT
2710,UTG
2711,RHE
2712,RCG
2713,RVP
2714,REI
2715,SACC
2716,SACH
2717,SCCB
2718,SNMP
2719,SEB
2720,SENS
2721,SVT
2722,SMTS
2723,SIF
2724,SVM
2725,SILV
2726,XPL
2727,LOV
2728,STXS
2729,SSY
2730,SDPI
2731,SYN
2732,TKAT
2733,TRX
2734,TGB
2735,TGC
2736,GLU
2737,GGO
2738,TMBR
2739,TMP
2740,TAT
2741,TRXC
2742,TMQ
2743,TPHS
2744,TRT
2745,UFAB
2746,UAMY
2747,UUU
2748,URG
2749,UEC
2750,VGZ
2751,VNRX
2752,VOLT
2753,EAD
2754,ERC
2755,ERH
2756,WRN
2757,WYY
2758,WTT
2759,XTNT
2760,ZDGE
2761,ZOM
