,ticks
518,CVX
519,CHWY
520,CHS
521,CIM
522,DL
523,CEA
524,CHN
525,CGA
526,LFC
527,CHL
528,COE
529,SNP
530,ZNH
531,CHA
532,CHU
533,CYD
534,CMG
535,CHH
536,CB
537,CHT
538,CHD
539,CCX
540,CCXX
541,CIEN
542,CI
543,XEC
544,CBB
545,CNK
546,CINR
547,CIR
548,CIT
549,CCAC
550,BLW
551,C
552,CFG
553,CIA
554,CIO
555,CVEO
556,CCC
557,CLH
558,CCO
559,EMO
560,CEM
561,CTR
562,CLW
563,CWEN
564,CLF
565,CLPR
566,CLX
567,CLDR
568,NET
569,CMS
570,CMSA
571,CMSC
572,CMSD
573,CNA
574,CNF
575,CNHI
576,CNO
577,CEO
578,CNXM
579,CNX
580,KOF
581,KO
582,CCEP
583,CDE
584,FOF
585,CNS
586,UTF
587,LDP
588,MIE
589,RQI
590,RNP
591,PSF
592,RFI
593,CFX
594,CFXA
595,CL
596,CCH
597,CXE
598,CIF
599,CXH
600,CMU
601,CLNY
602,CLNC
603,CXP
604,STK
605,CCZ
606,CMA
607,FIX
608,CMC
609,CBU
610,CYH
611,CHCT
612,CIG
613,CBD
614,SBS
615,ELP
616,CCU
617,CODI
618,CMP
619,CRK
620,CAG
621,CXO
622,CCM
623,CNMD
624,COP
625,CCR
626,CEIX
627,ED
628,STZ
629,CSTM
630,TCS
631,CLR
632,VLRS
633,CTRA
634,CTB
635,CPS
636,CTK
637,CPA
638,CLB
639,CXW
640,CLGX
641,CORR
642,CPLG
643,COR
644,CNR
645,GLW
646,CAAP
647,GYC
648,OFC
649,CTVA
650,CZZ
651,CMRE
652,COTY
653,CUZ
654,CVA
655,CPF
656,CR
657,BAP
658,CS
659,CPG
660,CEQP
661,CRH
662,CRT
663,CAPL
664,CCI
665,CCK
666,CRY
667,CTS
668,CUBE
669,CUB
670,CFR
671,CULP
672,CMI
673,CURO
674,CW
675,SRV
676,SZC
677,CWK
678,CUBB
679,CUBI
680,CVI
681,UAN
682,CVS
683,CELP
684,DHI
685,DAN
686,DHR
687,DAC
688,DQ
689,DRI
690,DAR
691,DVA
692,DCP
693,DECK
694,DE
695,DEX
696,DDF
697,DKL
698,DK
699,DELL
700,DLPH
701,DAL
702,DLX
703,DBI
704,DESP
705,DB
706,DVN
707,DHX
708,DHT
709,DEO
710,DSSI
711,DRH
712,DSX
713,DKS
714,DBD
715,DMS
716,DLR
717,DDS
718,DDT
719,DIN
720,DFS
721,DNI
722,DMYT
723,DLB
724,DG
725,D
726,DCUE
727,DRUA
728,DPZ
729,UFS
730,DCI
731,DFIN
732,LPG
733,DSL
734,DBL
735,DLY
736,PLOW
737,DEI
738,DOV
739,DVD
740,DOW
741,RDY
742,DRD
743,DRQ
744,DS
745,DTE
746,DTJ
747,DTP
748,DTQ
749,DTW
750,DTY
751,DCO
752,DSE
753,DNP
754,DTF
755,DUC
756,DPG
757,DUK
758,DUKB
759,DUKH
760,DRE
761,DNB
762,DD
763,DXC
764,DY
765,DLNG
766,DT
767,DX
768,ELF
769,EXP
770,ECC           
771,ECCB
772,ECCX
773,ECCY
774,EIC
775,ESTE
776,DEA
777,EGP
778,EMN
779,KODK
780,ETN
781,ETV
782,ETW
783,EV
784,EOI
785,EOS
786,EFT
787,EFL
788,EFF
789,EHT
790,ETX           
791,EOT
792,EVN
793,ETJ
794,EFR
795,EVF
796,EVG
797,EVT
798,ETO
799,ETG
800,ETB
801,EXD
802,ETY
803,EXG
804,ECL
805,EC
806,EPC
807,EIX
808,EW
809,ELAN
810,ELAT
811,ESTC
812,EGO
813,ESI
814,ELVT
815,LLY
816,EFC
817,EARN
818,ERJ
819,EME
820,EEX
821,EBS
822,EMR
823,ESRT
824,EIG
825,EDN
826,ENBL
827,ENB
828,ENBA
829,EHC
830,DAVA
831,EXK
832,ENIA
833,ENIC
834,ENR
835,ET
836,EPAC
837,ERF
838,ENS
839,E
840,ENLC
841,EBF
842,ENVA
843,NPO
844,ETM
845,EAB
846,EAE
847,EAI
848,ETR
849,ELC
850,ELJ
851,ELU
852,EMP
853,ENJ
854,ENO
855,EZT
856,EPD
857,EVC
858,ENV
859,NVST
860,EVA
861,ENZ
862,EOG
863,EPAM
864,EPR
865,EQT
866,EFX
867,EQNR
868,EQH
869,ETRN
870,EQC
871,ELS
872,EQR
873,EQS
874,EROS
875,ESE
876,ESNT
877,EPRT
878,WTRG
879,WTRU
880,ESS
881,EL
882,ETH
883,EURN
884,EEA
885,EB
886,EVR
887,RE
888,EVRG
889,EVRI
890,ES
891,EVTC
892,EVH
893,AQUA
894,XAN
895,EXPR
896,EXTN
897,EXR
898,XOM
899,FNB
900,FN
901,FDS
902,FICO
903,SFUN
904,FPAC
905,FTCH
906,FPI
907,FSLY
908,FBK
909,FFG
910,AGM
911,FRT
912,FSS
913,FMN
914,FHI
915,FDX
916,RACE
917,FOE
918,FCAU
919,FNF
920,FIS
921,FMO
922,FINV
923,FAF
924,FBP
925,FCF
926,TCRW
927,TCRZ
928,FSLF
929,FHN
930,FR
931,AG
932,FRC
933,FFA
934,FMY
935,FDEU
936,FIF
937,FSD
938,FTHY
939,FPF
940,FEI           
941,FPL
942,FIV
943,FCT
944,FGB
945,FEO
946,FAM
947,FE
948,FIT
949,FPH
950,FVRR
951,FBC
952,DFP
953,PFD
954,PFO
955,FFC
956,FLC
957,FLT
958,FLNG
959,FND
960,FTK
961,FLO
962,FLS
963,FLR
964,FLY
965,FEAC
966,FMC
967,WPF
968,FMX
969,FL
970,F
971,FOR
972,FTS
973,FTV
974,FTAI
975,FVAC
976,FSM
977,FBHS
978,FET
979,FBM
980,FCPT
981,FEDU
982,FNV
983,FC
984,FSB
985,BEN
986,FT
987,FI
988,FCX
989,FMS
990,FDP
991,RESI
992,FRO
993,FSK
994,FSKR
995,FCN
996,FF
997,GCV
998,GAB
999,GGZ
1000,GGT
1001,GUT
1002,GLEO
1003,GBL
1004,GNT
1005,GME
1006,GCI
1007,GPS
1008,GTX
1009,IT
1010,GLOG
1011,GLOP
1012,GTES
1013,GATX
1014,GMTA
1015,GCP
1016,GNK
1017,GNRC
1018,GAM
1019,GD
1020,GE
1021,GIS
1022,GM
1023,GCO
1024,GEL
1025,GEN           
1026,GNE
1027,G
1028,GPC
1029,GNW
1030,GEO
1031,GPRK
1032,GPJA
1033,GGB
1034,GTY
1035,GFL
1036,GFLU
1037,GIX
1038,GIX~
1039,GIK
1040,GIL
1041,GLT
1042,GKOS
1043,GSK
1044,CO
1045,GMRE
1046,GNL
1047,GLP
1048,GPN
1049,GSL
1050,GSLD
1051,GLOB
1052,GL
1053,GMED
1054,GMS
1055,GDDY
1056,GOL
1057,GFI
1058,GSBD
1059,GS
1060,GER
1061,GMZ
1062,GRC
1063,GPX
1064,GGG
1065,GRAF
1066,EAF
1067,GHM
1068,GHC
1069,GRAM
1070,GVA
1071,GPMT
